Designator,Mid X,Mid Y,Rotation,Layer
C1_56,76.771,-55.725,0.0,top
C1_55,31.171,-84.725,0.0,top
C1_54,31.171,-55.725,0.0,top
C1_53,42.571,-99.225,0.0,top
C1_52,88.171,-26.725,0.0,top
C1_51,76.771,-26.725,0.0,top
C1_50,42.571,-26.725,0.0,top
C1_49,88.171,-99.225,0.0,top
C1_48,76.771,-70.225,0.0,top
C1_47,31.171,-70.225,0.0,top
C1_46,8.371,-99.225,0.0,top
C1_45,42.571,-41.225,0.0,top
C1_44,42.571,-84.725,0.0,top
C1_43,8.371,-26.725,0.0,top
C1_42,19.771,-26.725,0.0,top
C1_41,65.371,-99.225,0.0,top
C1_40,19.771,-70.225,0.0,top
C1_39,65.371,-12.225,0.0,top
C1_38,53.971,-84.725,0.0,top
C1_37,76.771,-99.225,0.0,top
C1_36,8.371,-55.725,0.0,top
C1_35,65.371,-84.725,0.0,top
C1_34,65.371,-26.725,0.0,top
C1_33,65.371,-55.725,0.0,top
C1_32,88.171,-55.725,0.0,top
C1_31,76.771,-84.725,0.0,top
C1_30,53.971,-70.225,0.0,top
C1_29,76.771,-41.225,0.0,top
C1_28,53.971,-41.225,0.0,top
C1_27,42.571,-70.225,0.0,top
C1_26,53.971,-99.225,0.0,top
C1_25,31.171,-99.225,0.0,top
C1_24,8.371,-41.225,0.0,top
C1_23,53.971,-55.725,0.0,top
C1_22,8.371,-84.725,0.0,top
C1_21,19.771,-12.225,0.0,top
C1_20,31.171,-41.225,0.0,top
C1_19,31.171,-12.225,0.0,top
C1_18,19.771,-99.225,0.0,top
C1_17,19.771,-84.725,0.0,top
C1_16,76.771,-12.225,0.0,top
C1_15,42.571,-55.725,0.0,top
C1_14,65.371,-70.225,0.0,top
C1_13,88.171,-41.225,0.0,top
C1_12,53.971,-12.225,0.0,top
C1_11,65.371,-41.225,0.0,top
C1_10,88.171,-70.225,0.0,top
C1_9,8.371,-12.225,0.0,top
C1_8,53.971,-26.725,0.0,top
C1_7,19.771,-55.725,0.0,top
C1_6,19.771,-41.225,0.0,top
C1_5,88.171,-84.725,0.0,top
C1_4,88.171,-12.225,0.0,top
C1_3,31.171,-26.725,0.0,top
C1_2,8.371,-70.225,0.0,top
C1,42.571,-12.225,0.0,top
C2_56,29.131,-8.125,0.0,top
C2_55,63.331,-8.125,0.0,top
C2_54,63.331,-22.625,0.0,top
C2_53,29.131,-66.125,0.0,top
C2_52,6.331,-95.125,0.0,top
C2_51,86.131,-80.625,0.0,top
C2_50,51.931,-80.625,0.0,top
C2_49,74.731,-66.125,0.0,top
C2_48,86.131,-22.625,0.0,top
C2_47,40.531,-8.125,0.0,top
C2_46,86.131,-37.125,0.0,top
C2_45,51.931,-95.125,0.0,top
C2_44,40.531,-22.625,0.0,top
C2_43,17.731,-51.625,0.0,top
C2_42,51.931,-51.625,0.0,top
C2_41,63.331,-37.125,0.0,top
C2_40,29.131,-22.625,0.0,top
C2_39,63.331,-80.625,0.0,top
C2_38,51.931,-37.125,0.0,top
C2_37,51.931,-22.625,0.0,top
C2_36,6.331,-37.125,0.0,top
C2_35,40.531,-80.625,0.0,top
C2_34,86.131,-66.125,0.0,top
C2_33,63.331,-51.625,0.0,top
C2_32,74.731,-8.125,0.0,top
